stats (11)
last_name, first_name,player_id,year,player_age,p_game,p_formatted_ip,p_strikeout,p_k_percent,p_era,pitch_hand,n,n_ff_formatted,ff_avg_speed,ff_avg_spin,ff_avg_break_x,ff_avg_break_z,ff_avg_break,ff_range_speed,n_sl_formatted,sl_avg_speed,sl_avg_spin,sl_avg_break_x,sl_avg_break_z,sl_avg_break,sl_range_speed,n_ch_formatted,ch_avg_speed,ch_avg_spin,ch_avg_break_x,ch_avg_break_z,ch_avg_break,ch_range_speed,n_cukc_formatted,cu_avg_speed,cu_avg_spin,cu_avg_break_x,cu_avg_break_z,cu_avg_break,cu_range_speed,n_sift_formatted,si_avg_speed,si_avg_spin,si_avg_break_x,si_avg_break_z,si_avg_break,si_range_speed,n_fc_formatted,fc_avg_speed,fc_avg_spin,fc_avg_break_x,fc_avg_break_z,fc_avg_break,fc_range_speed,n_fs_formatted,fs_avg_speed,fs_avg_spin,fs_avg_break_x,fs_avg_break_z,fs_avg_break,fs_range_speed,n_kn_formatted,kn_avg_speed,kn_avg_spin,kn_avg_break_x,kn_avg_break_z,kn_avg_break,kn_range_speed,
Phelps, David,475479,2019,33,41,34.1,36,24.5,3.41,R,641,25.4,92.7,2346,-5.8,-16.9,16.9,1.3,,,,,,,,0.6,86.4,2112,-17.2,-32.5,18,1.5,27.8,80.1,2648,10.1,-55.5,14.9,1.5,17.3,92.6,2231,-15.1,-21.2,19,1.4,28.9,89.5,2411,3.1,-24.1,11.5,1.3,,,,,,,,,,,,,,,
Hellickson, Jeremy,476451,2019,32,9,39.0,30,16.4,6.23,R,675,2.5,88.6,2126,-10.2,-20.3,18.7,1.5,,,,,,,,25.8,79.8,1861,-8.8,-34.1,13.4,1.7,13.3,73.7,2845,12,-67.7,18.7,2.1,41.3,88.7,2118,-15.8,-23.9,19.8,1.2,17,85.7,2426,-1.1,-24.7,13.7,1.5,,,,,,,,,,,,,,,
Warren, Adam,476589,2019,32,25,28.2,25,20.2,5.34,R,555,30.6,91.4,2151,-4.5,-17.1,16.6,1.1,47.2,85.5,2226,5.7,-33.9,7.3,1.2,17.8,84.9,1771,-15.3,-32.5,16.5,1.3,4.1,78.8,2104,8.3,-57.3,14.8,1.4,0.2,91.7,2027,-14.2,-21.2,18.1,,,,,,,,,,,,,,,,,,,,,,,
Kershaw, Clayton,477132,2019,31,29,178.1,189,26.8,3.03,L,2575,43.9,90.3,2477,-1.2,-14.6,19.3,1,39.1,86.9,2668,-4.8,-28.8,9.8,1.3,0.6,85.2,2210,10.6,-19.9,21.5,1.5,16.4,73.5,2463,-3.4,-68,16.6,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buchter, Ryan,488748,2019,32,64,45.1,50,25.3,2.98,L,783,62.8,92.4,2274,8.4,-14,19.8,1.2,,,,,,,,,,,,,,,22.5,77.6,2087,-16.1,-49.6,16.7,2.8,,,,,,,,14.7,89.7,2247,0.4,-20.6,13.3,1.9,,,,,,,,,,,,,,,
Cashner, Andrew,488768,2019,33,42,150.0,108,17.0,4.68,R,2511,45.3,93.9,2204,-7.9,-15.1,19,1.7,13.1,85.7,2255,4.1,-36.1,5.5,1.8,27.9,84.5,1545,-12.4,-30,15.9,1.6,10.8,80.6,2349,11.3,-55.4,15.7,1.6,2.9,91.9,2048,-13.4,-19.2,19.7,1.5,,,,,,,,,,,,,,,,,,,,,,
Miley, Wade,489119,2019,33,33,167.1,140,19.4,3.98,L,2863,15.8,90.8,2210,4,-16.5,17.7,1.7,1,81.7,2398,-4.9,-45.5,6.3,1.4,20.7,81.2,1869,14.9,-31.3,18.5,1.4,9.3,75.6,2428,-7.7,-62.6,14.6,2,6.3,89.5,2056,11.7,-19.6,19.3,1.5,47,87.3,2258,-2.5,-28.3,8.9,1.7,,,,,,,,,,,,,,,
Romo, Sergio,489265,2019,36,65,60.1,60,24.1,3.43,R,995,10.1,86.5,2305,-13.8,-25.2,18.2,1,59.6,77.4,2830,14.8,-38.1,17.8,1.7,16.1,80.2,2151,-20.1,-40.6,20.4,1,,,,,,,,14.3,86.2,2168,-18.8,-34.5,19.1,0.9,,,,,,,,,,,,,,,,,,,,,,
Stammen, Craig,489334,2019,35,76,82.0,73,21.5,3.29,R,1250,0.3,91.8,2129,-9.1,-16.6,17.9,1.4,,,,,,,,0.7,89.1,2009,-12.8,-20.3,19.2,1.4,12.2,81.3,2363,7.6,-54.2,14.6,1.4,71,92.8,2170,-14.5,-21.1,18,1.2,15.8,87.5,2341,2,-31,5.6,1.4,,,,,,,,,,,,,,,
Yates, Kirby,489446,2019,32,60,60.2,101,41.6,1.19,R,1021,57,93.5,2307,-14.2,-17.3,20.8,0.9,0.9,85.2,2265,2.1,-35.7,6.5,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.1,86.3,1399,-13.6,-37.6,13.9,1.1,,,,,,,,
Oh, Seunghwan,493200,2019,37,21,18.1,16,18.2,9.33,R,372,42.5,91.1,2218,-5.5,-18.4,16.2,1,0.3,82.7,2185,3.2,-37.5,4.4,,4.6,82.5,1710,-11.3,-31.3,15,1.7,14,73.4,2454,6.7,-61.3,11,2.7,,,,,,,,38.7,82.2,2192,3.4,-37.2,5.5,1.9,,,,,,,,,,,,,,,
Ottavino, Adam,493603,2019,34,73,66.1,88,31.1,1.90,R,1130,1.9,93.8,2393,-8.9,-18.3,15.2,1.4,44.7,81.9,2876,18.4,-39.9,18.7,1.6,,,,,,,,,,,,,,,39.6,93.9,2387,-14.6,-23.3,16.4,1.2,13.8,88.2,2683,3.2,-25.7,10.6,1.6,,,,,,,,,,,,,,,
Quintana, Jose,500779,2019,30,32,171.0,152,20.4,4.68,L,2734,36.4,91.4,2016,4.4,-16.8,16.5,1,,,,,,,,11,86.5,1287,8.5,-27,13.4,1.2,27.2,77,2215,-8.6,-54.5,12,1.1,25.4,91.3,1977,12.2,-18.8,18.5,1.1,,,,,,,,,,,,,,,,,,,,,,
Pineda, Michael,501381,2019,30,26,146.0,140,23.3,4.01,R,2184,54.1,92.5,1999,-6.1,-18.5,15,1.6,29.5,83.9,2011,-1.4,-37.4,3.3,1.8,15.3,87.1,1864,-15.4,-27.6,17.7,1.5,,,,,,,,1.1,91.9,1953,-10.5,-21.7,15.2,1.5,,,,,,,,,,,,,,,,,,,,,,
Avilan, Luis,501593,2019,30,45,32.0,30,21.3,5.06,L,600,,,,,,,,,,,,,,,58.3,82.4,2210,14,-34.8,15.6,1.4,12.2,75.4,2450,-10.4,-57.4,12.5,2.1,29.5,90.4,2114,15.5,-23.2,19.2,1.1,,,,,,,,,,,,,,,,,,,,,,
Alvarez, Jose,501625,2019,30,67,59.0,51,20.0,3.36,L,983,13.5,91.4,2392,10,-16.8,18.9,1.6,10.9,83.3,2354,-4.6,-34.1,7.4,2.2,22.1,82,1921,15.2,-35.7,16.5,1.6,7.6,81.6,2395,-7.1,-40,7.4,1.6,38.6,91.4,2347,16.6,-21.4,20.2,1.5,7.3,87,2374,-1.9,-26.9,9.8,1.3,,,,,,,,,,,,,,,
Harris, Will,501789,2019,35,68,60.0,62,27.1,1.50,R,912,1.1,92,2520,-1.3,-18.9,13.3,1.4,,,,,,,,,,,,,,,42,81.3,2775,11.7,-56.7,18.6,1,,,,,,,,56.9,91.2,2527,3.8,-21.7,11.7,1,,,,,,,,,,,,,,,
Smith, Joe,501925,2019,35,28,25.0,22,22.9,1.80,R,344,26.5,88.9,2150,-18.7,-32.7,18.9,1,41,79.6,2322,12.3,-33.9,16,1.1,1.5,77.9,1730,-14.8,-53.4,16.7,1.4,,,,,,,,31.1,87.1,1938,-15.7,-44.5,17.9,1,,,,,,,,,,,,,,,,,,,,,,
Minor, Mike,501985,2019,32,32,208.1,200,23.2,3.59,L,3357,44.6,92.5,2650,4.1,-17,16.2,1.3,19.4,86.4,2737,-5.6,-34.7,6.9,1.6,24.6,86.2,2287,17.5,-26.2,21.2,1.5,11.4,80.7,2534,-6.9,-54.5,12.6,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeffress, Jeremy,502026,2019,32,48,52.0,46,20.4,5.02,R,860,28.5,94,2185,-7.2,-16.1,16.6,1.4,,,,,,,,,,,,,,,28.4,81,2385,9.4,-48.4,11.4,1.5,34.1,93.7,2016,-16.6,-23,18.5,1.3,,,,,,,,9.1,90.2,1681,-13.8,-28.3,15,1.3,,,,,,,,
Archer, Chris,502042,2019,31,23,119.2,143,27.2,5.19,R,2097,39.6,94.1,2264,-7,-13.4,19.3,1.4,35.6,88.7,2613,5.4,-33.8,6.1,1.7,12.1,87.7,1642,-12.3,-27.8,14.8,1.5,2,82.3,2678,4.1,-48.9,8.6,1.6,10.7,93.9,2239,-11.7,-15.7,19.8,1.5,,,,,,,,,,,,,,,,,,,,,,
Gibson, Kyle,502043,2019,32,34,160.0,160,22.7,4.84,R,2764,18.2,93.4,2211,-5.6,-15,16.9,1.4,20.8,84.1,2469,5.5,-40,6.1,1.3,16.2,85.3,1660,-13.2,-30.8,14.6,1.3,12.8,80.1,2482,6.6,-51.5,11.3,1.5,32.1,93.2,2098,-13.6,-19.4,17.8,1.3,,,,,,,,,,,,,,,,,,,,,,
Britton, Zack,502154,2019,32,66,61.1,53,21.6,1.91,L,906,,,,,,,,13.9,80.6,2562,-11.2,-51.5,13.7,1.4,,,,,,,,,,,,,,,86.1,94.7,2002,13,-23.9,15.1,1.1,,,,,,,,,,,,,,,,,,,,,,
Samardzija, Jeff,502188,2019,34,32,181.1,140,18.9,3.52,R,3001,27.7,91.6,2571,-9.7,-17.5,18.3,1.4,18.1,84.6,2449,-0.3,-31.4,7.8,1.6,,,,,,,,2.5,76.3,2498,6.3,-58.7,12.5,1.7,19.3,92.2,2480,-16.7,-23,19.2,1.4,24.9,88.8,2607,-2.8,-23.6,12,1.4,7.7,82.3,1451,-8,-30.8,13.3,1.6,,,,,,,,
Leake, Mike,502190,2019,32,32,197.0,127,15.2,4.29,R,2968,14.4,88.6,2086,-8.1,-27.6,12,1.5,12.6,80.3,2506,9.5,-45.7,9.9,1.8,20.7,84,1719,-12.5,-41.2,12.9,1.6,7.9,79.3,2572,14.6,-47.4,14.9,1.9,18.3,88.3,2023,-11.9,-32.5,12.7,1.5,26.1,86.7,2232,1.6,-31.7,6.8,1.8,,,,,,,,,,,,,,,
Boxberger, Brad,502202,2019,31,29,26.2,27,22.1,5.40,R,487,48.9,90,2212,-5.5,-20.1,15.9,1.2,18.1,85.3,2242,4.7,-31.7,9.3,1.6,33.1,78.2,1320,-14.2,-43.2,14.8,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cahill, Trevor,502239,2019,31,37,102.1,81,17.8,5.98,R,1720,8.1,91.8,2220,-9.5,-18,17.5,1.1,,,,,,,,23.4,83.4,1566,-13.6,-37.9,13.9,1.3,21.8,79.4,2950,11.7,-56.2,16.6,1.4,28.3,91.7,2207,-16.1,-24.9,18.2,1.4,18.4,85.8,2154,0.8,-32.8,5.3,1.5,,,,,,,,,,,,,,,
Santiago, Hector,502327,2019,32,19,33.2,40,24.5,6.68,L,713,59.3,91.8,2117,13.2,-18.4,20,1.7,16.1,85,2051,-2.8,-33.4,6.6,1.9,19.8,83.9,2054,16.2,-29.9,19.3,2.1,4.6,74.6,2003,-6.4,-56.1,8.1,2.1,0.1,92.5,2078,20.3,-26.2,21.5,,,,,,,,,,,,,,,,,,,,,,,
Anderson, Chase,502624,2019,32,32,139.0,124,20.9,4.21,R,2300,43.4,93.3,2166,-8.7,-15.1,19.1,1.4,,,,,,,,24.2,82.7,2311,-17.7,-29.7,21.3,1.2,10.3,77.8,2171,7.5,-61.4,15.9,1.4,7.4,93.3,2167,-14,-18.3,19.7,1.3,14.7,90.6,2382,1.2,-21.2,13.1,1.5,,,,,,,,,,,,,,,
Holland, Derek,502706,2019,33,51,84.1,82,21.8,6.08,L,1473,,,,,,,,29.6,81.1,2243,0.6,-38.5,5.2,1.6,4.1,83.9,1864,11.4,-28.4,16.6,2,4.3,77.7,2098,-0.8,-44.5,3.5,1.2,62.1,92.3,2386,15,-18.8,20.6,1.7,,,,,,,,,,,,,,,,,,,,,,
Peacock, Brad,502748,2019,31,23,91.2,96,25.1,4.12,R,1509,27.4,92.5,2296,-13.4,-17.4,20.4,1.1,28.6,81.3,2751,13.8,-35.5,16.2,1.5,6,83.4,1970,-18.6,-34.5,19.7,1.8,6.9,78.6,2599,12.1,-58,17,1.7,31.1,91.8,2230,-18.8,-24.5,20.8,1.2,,,,,,,,,,,,,,,,,,,,,,
Peralta, Wily,503449,2019,30,42,40.1,24,13.6,5.80,R,646,54.6,94.3,1872,-11.1,-17.3,18.1,1.2,32.2,82.1,2200,0.8,-44.5,3.6,2.1,12.7,84.8,1583,-12.2,-27.7,16.7,1.4,0.2,74.7,2095,1.9,-55.9,4.8,,0.3,95.1,1855,-13.6,-20,17.5,1.5,,,,,,,,,,,,,,,,,,,,,,
Nicasio, Juan,504379,2019,33,47,47.1,45,20.7,4.75,R,832,41.9,93.8,2075,-9.6,-16,18.4,1.5,45.7,86.7,1934,1.8,-31.5,6.3,2.1,0.2,84.7,1918,-12,-27.2,17.8,1.6,,,,,,,,12.1,93.1,2013,-14,-19.6,18.8,1.6,,,,,,,,,,,,,,,,,,,,,,
Darvish, Yu,506433,2019,33,31,178.2,229,31.3,3.98,R,2846,26.8,94.1,2529,-3.6,-14.7,16.6,1.9,13.8,82.4,2725,16.7,-39.9,17.2,2.1,0.4,83.8,1322,-5.3,-30.5,9.9,1.7,6.9,77.2,2624,11.4,-59.8,17.1,3.7,11.7,93.4,2280,-12,-22.4,15.1,2.2,36.5,86.9,2651,5.6,-36.6,7.2,2.8,3.8,88.6,1438,-6,-28.7,9.2,1.4,,,,,,,,
Herrera, Kelvin,516969,2019,30,57,51.1,53,22.6,6.14,R,907,35.4,96.3,2229,-5.6,-15,16,1.6,12.7,81.7,2676,13.6,-45.7,14.2,2.1,19.5,88.6,1781,-13.7,-25.4,17.1,1.7,,,,,,,,21.3,95.4,2192,-11.5,-16.1,18.4,1.4,11.1,91.3,2289,1.8,-23.3,10.6,1.7,,,,,,,,,,,,,,,
Colome, Alex,517008,2019,31,62,61.0,55,22.1,2.80,R,966,29.1,94.4,2127,-3.7,-13.3,18.3,1.2,,,,,,,,2.9,91.2,2138,-7.2,-23.8,11.9,1.3,,,,,,,,,,,,,,,68,90.3,2149,1.2,-26.3,8.4,1.4,,,,,,,,,,,,,,,
Alexander, Scott,518397,2019,30,28,17.1,9,11.8,3.63,L,278,,,,,,,,7.9,84.2,2311,-3,-42.3,5.3,1.4,3.2,87,1650,14.3,-33,15,1.4,,,,,,,,88.8,92.8,2271,14.3,-26.5,15.4,1,,,,,,,,,,,,,,,,,,,,,,
Bettis, Chad,518452,2019,30,39,63.2,42,14.6,6.08,R,1030,35.8,93,2037,-5.8,-19.6,13.5,2.2,,,,,,,,32.2,87,1370,-8.9,-32.3,9.9,2,12,77.3,2539,12,-56,15.1,3.1,2.5,93.1,2023,-10.2,-21.9,14.2,1.7,17.4,88.7,2292,4.1,-30,6.8,1.9,,,,,,,,,,,,,,,
Brasier, Ryan,518489,2019,32,62,55.2,61,25.3,4.85,R,943,55.2,96.1,2359,-6,-12.9,17.6,1,31.8,85.2,2481,6.8,-37.3,7.3,1.6,9,87.4,1566,-13.7,-28.9,15.6,1.3,,,,,,,,3.9,96.1,2326,-14.3,-16.4,19.4,1.1,,,,,,,,,,,,,,,,,,,,,,
Bumgarner, Madison,518516,2019,30,34,207.2,203,24.1,3.90,L,3239,42.9,91.4,2405,9.1,-17.1,18.2,1,,,,,,,,5.4,84.2,1641,13,-29.5,15.9,1.4,18.3,78.8,2645,-11.8,-49.6,12.8,1.5,0.1,92.2,2400,11.9,-23,15.1,1.5,33.3,87.2,2488,-1.1,-28.1,8.4,1.4,,,,,,,,,,,,,,,
Cishek, Steve,518553,2019,33,70,64.0,57,21.3,2.95,R,1109,17,90.5,2409,-11.9,-24,14.5,1.3,40,78.9,2282,10.4,-44.1,10.8,1.4,0.8,83.9,1975,-15.9,-36.6,16.1,1.5,,,,,,,,42.1,90.5,2372,-16.6,-29.1,16.9,1.3,,,,,,,,,,,,,,,,,,,,,,
Cole, Taylor,518566,2019,30,38,51.2,50,21.6,5.92,R,911,37.2,93.2,2282,-12.6,-15.6,20.1,1.4,21.7,87.4,2395,1.9,-28.8,7.3,1.9,31.8,86.9,1956,-14.5,-29.5,16,1.7,4.8,82.2,2535,6.5,-42.7,7.4,1.9,,,,,,,,4.4,92.5,2271,-6.8,-14.2,18.8,1.4,,,,,,,,,,,,,,,
Diekman, Jake,518617,2019,32,76,62.0,84,29.8,4.65,L,1145,48.3,95.8,2212,14,-19,17.9,1.2,46.2,85,2814,-5.9,-41.6,7,1.5,0.3,90,1609,17.4,-35.2,17.5,1.5,,,,,,,,5.2,95.5,2094,17.6,-24.9,18.5,1.5,,,,,,,,,,,,,,,,,,,,,,
Duffy, Danny,518633,2019,31,23,130.2,115,20.7,4.34,L,2161,44.2,92.3,2242,7.2,-14.6,18.7,1.5,26.3,84,2310,-3.1,-37.6,5.1,1.9,11.5,83.8,2295,14.8,-27.5,18.6,1.5,9,76.1,2346,-8.6,-63.2,17.9,1.6,8.9,92.1,2181,12.8,-18,18.9,1.6,,,,,,,,,,,,,,,,,,,,,,
Gearrin, Cory,518715,2019,33,66,55.1,47,19.5,4.07,R,903,8.4,91,2311,-16,-25.1,18.5,1.4,40.3,85.2,2826,3.6,-33.9,7,1.7,15,85.3,2225,-17.6,-39.3,17.8,1.1,,,,,,,,36.3,91.3,2276,-19.9,-31.7,20.1,1.2,,,,,,,,,,,,,,,,,,,,,,
Harvey, Matt,518774,2019,30,12,59.2,39,14.7,7.09,R,942,47,93.2,2171,-12.1,-17.7,19.3,1.3,28,87.2,2413,2.3,-31.2,6.4,1.3,10.3,85.7,1774,-14.4,-25.8,19,1.4,14.3,81.4,2516,2.9,-49.8,7.8,1.4,0.3,94.5,2170,-17.7,-21,20.5,1.4,,,,,,,,,,,,,,,,,,,,,,
Holland, Greg,518813,2019,34,40,35.2,41,27.0,4.54,R,598,47.2,91.6,2243,0.1,-17.5,15.8,1.4,43.5,84.3,2070,4.7,-38.9,5.1,1.7,0.2,83.8,1695,-4.5,-33,8.1,,9.2,77.5,2297,4.8,-56.7,11,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kelley, Shawn,518875,2019,35,50,47.1,43,21.0,4.94,R,768,39.7,91.9,2396,-3,-14.9,17.6,1.3,60.2,82.4,2431,6.8,-39.3,7.4,1.8,0.1,83.3,2488,-3.9,-27.7,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kelly, Merrill,518876,2019,31,32,183.1,158,20.3,4.42,R,2962,37.3,92,2411,-4.7,-17.2,16.1,1.6,,,,,,,,13.4,86,2109,-12.6,-23.9,18.5,1.5,21.3,80.6,2683,9.6,-55.3,15.9,1.8,9.7,91.5,2313,-13.9,-24.2,16.6,1.5,18.2,89.9,2433,2.1,-23.2,11.2,1.7,,,,,,,,,,,,,,,
Kimbrel, Craig,518886,2019,31,23,20.2,30,31.3,6.53,R,377,66.6,96.2,2323,-10.2,-14.9,18,1.2,,,,,,,,,,,,,,,33.4,85.9,2533,8.7,-45.7,12.2,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McFarland, T.J.,519008,2019,30,51,56.0,35,14.0,4.82,L,894,0.4,89.2,1859,9.8,-26.7,13.4,1.4,15.5,80.9,2252,-5.3,-46.6,6.5,1.2,16,82,1731,16.4,-39.7,16.8,1.1,,,,,,,,68,89.4,1915,17.5,-36,17.7,1,,,,,,,,,,,,,,,,,,,,,,
Nelson, Jimmy,519076,2019,30,10,22.0,26,24.8,6.95,R,407,23.8,92.3,2452,-0.2,-17.6,14.3,1.7,27,85.5,2794,12.2,-38.2,12.7,1.4,0.7,87.2,1431,-7.2,-30.6,9.7,1.5,20.1,82.8,2770,10.3,-54.2,17.2,1.5,28.3,93,2318,-10.3,-21.7,14.2,1.4,,,,,,,,,,,,,,,,,,,,,,
Otero, Dan,519096,2019,34,25,29.2,16,12.2,4.85,R,416,12,88.6,2097,-9,-20.2,17,1.2,13.9,78.9,2135,6.6,-47.1,7.9,1.5,18.8,82.2,1359,-13.7,-38.4,13.9,1.3,,,,,,,,55.3,89.1,2012,-17.1,-27.5,18.5,1.1,,,,,,,,,,,,,,,,,,,,,,
Pomeranz, Drew,519141,2019,31,46,104.0,137,30.1,4.85,L,1942,52.6,92.8,2436,6.1,-13.8,20.5,1.9,,,,,,,,1.6,85.6,1967,10.8,-24.1,18.6,1.6,31.9,81.2,2283,-3.5,-59.5,15.7,1.9,8,91.3,2358,13.3,-18.6,20.8,1.8,5.8,88,2354,0,-24,13.4,1.3,,,,,,,,,,,,,,,
Porcello, Rick,519144,2019,31,32,174.1,143,18.6,5.52,R,2927,31.4,91,2434,-9,-17.9,18,1.3,18.3,84.3,2555,3.4,-34.8,6.3,1.7,11.9,80.8,1600,-13.9,-34.6,16.2,1.6,12.7,74.9,2810,15.1,-58.3,16.9,1.7,25.6,89.6,2290,-16.7,-26.6,18.6,1.5,,,,,,,,,,,,,,,,,,,,,,
Pressly, Ryan,519151,2019,31,55,54.1,72,34.1,2.32,R,803,35.7,95.5,2571,-2.9,-13.1,17.5,1.2,29,90.2,2740,5.2,-32,6.4,1.5,,,,,,,,35.2,83,3305,16.8,-53.8,20.8,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramirez, Neil,519166,2019,30,22,25.0,24,21.4,5.40,R,461,55.7,94.4,2425,-6.4,-11.8,20,1.2,31,84.6,2364,6.3,-38.6,6.7,1.3,,,,,,,,13.2,79.4,2731,8.6,-52.6,12.4,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sale, Chris,519242,2019,30,25,147.1,218,35.6,4.40,L,2465,35.8,93.4,2383,14.8,-19.7,19.3,2.2,38.4,79,2492,-14,-49.8,14.9,2.4,15.6,85.2,1965,19,-38.7,19.2,1.8,,,,,,,,10.2,92.2,2293,19.6,-28.3,20.3,2,,,,,,,,,,,,,,,,,,,,,,
Smith, Will,519293,2019,30,63,65.1,96,37.4,2.76,L,1043,46.9,92.6,2219,5.4,-15,18,1.2,42.3,81.6,2333,-9.2,-41.2,9.8,1.5,1.8,87,1837,13.4,-23.1,19.2,1.5,9,77.1,2022,-9.5,-56,12.8,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strickland, Hunter,519326,2019,31,28,24.1,18,17.1,5.55,R,369,54.5,95.9,2352,-5.7,-14.9,16.6,1.3,29.8,83.6,2776,9.4,-42.4,9.9,1.3,4.1,89.4,1831,-13.6,-24.8,17.3,1.4,,,,,,,,11.1,95.4,2335,-12.8,-17.5,18.5,1.2,0.5,91.1,2539,5.6,-30.4,6.6,1.5,,,,,,,,,,,,,,,
Walden, Marcus,519393,2019,31,70,78.0,76,23.2,3.81,R,1236,19.7,94.1,2227,-2.6,-19.6,11,1.1,37.1,85.6,2378,10.5,-38.9,10.9,1.2,,,,,,,,,,,,,,,17.5,94,2095,-11,-24.5,12.8,1.1,25.7,91.7,2276,2.4,-26,6.5,1.1,,,,,,,,,,,,,,,
Workman, Brandon,519443,2019,31,73,71.2,104,36.4,1.88,R,1229,33.9,92.9,2127,-2.5,-13.5,17.3,1.4,,,,,,,,,,,,,,,46.9,80.6,2607,6.4,-58.2,17.6,1.5,,,,,,,,19.2,87,2196,4.3,-31.9,6.2,1.5,,,,,,,,,,,,,,,
Zimmermann, Jordan,519455,2019,33,23,112.0,82,16.3,6.91,R,1866,34.4,90.5,2284,-6.9,-17.9,17.3,0.9,31.6,85.8,2288,3.5,-29.8,8.7,1,2.1,87.1,1708,-12.8,-30.1,14.3,1.2,19.5,80.2,2372,5.4,-48.5,7.7,1.3,12.4,90.3,2201,-12.8,-25.4,15.2,0.9,,,,,,,,,,,,,,,,,,,,,,
Baez, Pedro,520980,2019,31,71,69.2,69,25.0,3.10,R,1091,50.6,95.8,2328,-5.5,-11.9,19,1.2,17.2,86.3,1740,2.8,-32.7,5.6,1.6,31.9,86.2,1999,-10.2,-21.7,18.3,1.2,,,,,,,,0.3,96,2307,-11,-15.2,18.5,1.5,,,,,,,,,,,,,,,,,,,,,,
Hendriks, Liam,521230,2019,30,75,85.0,124,37.3,1.80,R,1300,69.4,96.5,2381,-5.9,-10.7,19.6,1.6,21.5,88.5,2156,2.3,-29.9,5.7,1.4,,,,,,,,7.8,84.4,2122,2.9,-49.1,10.8,1.5,1.2,93.7,2160,-14.2,-16.6,20.3,1.3,,,,,,,,,,,,,,,,,,,,,,
Font, Wilmer,521655,2019,29,48,84.1,95,26.7,4.48,R,1523,47.1,94.4,2370,-5.3,-12.4,18.8,1.7,13.4,84.1,2259,5.9,-36,7.1,2.1,,,,,,,,19,76.4,2492,9.9,-59.6,16.1,1.8,11.1,93.7,2270,-12.8,-15.8,19.8,1.6,,,,,,,,9.3,84.7,1333,-8.2,-29,12.8,2.3,,,,,,,,
Kelly, Joe,523260,2019,31,55,51.1,62,27.4,4.56,R,881,28,97.5,2155,-9.5,-14.8,17.3,1.1,,,,,,,,12.6,87.6,2073,-17,-29.3,18.5,1.4,36.5,87.2,3103,10.5,-50,16.7,1.8,22.8,98.3,2121,-15.3,-19,18,1.2,,,,,,,,,,,,,,,,,,,,,,
Perez, Martin,527048,2019,28,32,165.1,135,18.3,5.12,L,2771,17.5,94.2,2131,9.8,-15.7,18.5,1.5,,,,,,,,22.2,85.3,1795,14.9,-27.8,18,1.5,4.7,79.2,2637,-5.1,-51.3,8.5,1.4,24.8,93.9,2051,16.8,-21.7,19.5,1.6,30.8,88.5,2307,-2.6,-28.6,7.7,1.7,,,,,,,,,,,,,,,
Teheran, Julio,527054,2019,28,33,174.2,162,21.5,3.81,R,3034,41.7,89.7,2400,-6.4,-21.7,14.1,1.7,21,82.2,2603,3.2,-37.2,5.8,1.8,8.2,83.6,1704,-14.9,-31.7,16.8,1.7,6.5,74.8,2762,12,-52.4,12.5,2.2,22.7,89.3,2264,-14.7,-29.7,15.7,1.6,,,,,,,,,,,,,,,,,,,,,,
Osuna, Roberto,532077,2019,24,66,65.0,73,28.9,2.63,R,945,46.1,96.7,2489,-6,-11.1,19.7,1.3,19.6,88.2,2495,6.8,-31.9,8.2,1.6,18.5,84.4,1875,-13.6,-26.5,18.6,1.7,0.2,83.1,2565,5.5,-41.8,6.8,1.5,2.6,95.7,2356,-12.9,-14.2,20.7,1.5,12.9,91.9,2502,4.9,-21.2,12.8,1.5,,,,,,,,,,,,,,,
Shoemaker, Matt,533167,2019,33,5,28.2,24,22.2,1.57,R,418,17.2,90.3,2197,-9.2,-17,19.4,1.6,17.7,81.7,2036,1.9,-38.9,4.2,1.5,,,,,,,,2.4,76.4,2005,10.4,-51.8,11.3,1.6,30.1,90.5,2066,-16.1,-21.9,20.1,1.6,,,,,,,,32.5,84.3,1167,-12,-34.1,13.4,1.6,,,,,,,,
Cisnero, Jose,542585,2019,30,35,35.1,40,24.7,4.33,R,646,51.2,96.4,2428,-11.6,-14.6,19.3,1.5,30.5,86.6,2511,4.5,-35.4,6.2,2.3,8.7,90.6,1764,-16.1,-27.5,17.4,1.6,,,,,,,,9.6,95.9,2312,-16.3,-20.6,19.1,1.5,,,,,,,,,,,,,,,,,,,,,,
Adams, Austin,542866,2019,33,15,16.2,14,17.5,7.02,R,287,54.7,96.2,2200,-3.5,-12.5,17.5,1.4,39,86.7,2504,4.7,-38.6,5.4,1.4,6.3,89.8,1963,-14.6,-26.6,16.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
